idx,class,conversation
3950,일반 대화,"야, 이번에 나온 롤 스킨 봤냐? 미쳤던데.
 어, 카타리나 스킨 개간지.
 씨발, 돈 없어서 못 사겠네. 
 ㅋㅋㅋㅋ 파산핑이냐? 나도 고민 중.
 그래도 지를까... 내 통장 잔고가 날 막는다."
3951,일반 대화,"야, 다음 주 주말에 바다 보러 갈래?
 오 개좋지. 어디로?
 동해나 부산 쪽? 요즘 핫한 곳 많더라.
 헐, 가서 회도 먹자. 장어도.
 ㅇㅋㅇㅋ, 내가 숙소 찾아볼게."
3952,일반 대화,"이번에 강남에 새로 생긴 디저트 카페 가봤어?
 아니, 아직. 거기 뭐가 그렇게 핫함?
 빵 퀄리티가 장난 아님. 그냥 입에서 녹음.
 와... 나 당장 가야겠는데?
 이번 주말에 같이 갈래? 인스타용
3953,일반 대화,"어제 헬스장에서 데드리프트 120 쳤다.
 와 미쳤네, 너 갑자기 그렇게 들어?
 ㅋㅋㅋ 몰라, 그냥 올라가길래 함.
 나도 이제 좀 제대로 해야겠다.
 그럼 이번 주부터 같이 가자. 루틴 맞춰서."
3954,일반 대화,"야, 나 요즘 골프 배우는데 개어려움.
 헐, 너 골프도 해?
 어, 근데 아이언 제대로 못 맞추겠음.
 ㅋㅋㅋㅋ 폼 교정해야겠네.
 담주에 필드 한 번 가볼래? 연습도 할 겸."
3955,일반 대화,"너 이번에 나이키 신상 조던 나왔던데 봤냐?
 아니, 아직. 이쁘냐?
 개이쁨. 근데 선착순이라 벌써 품절됐어.
 씨발, 나도 사고 싶었는데 놓쳤네.
 ㅋㅋㅋ 리셀가 2배 찍었더라. 진짜 미쳤음."
3956,일반 대화,"오늘 점심 뭐 먹지? 떡볶이? 국밥?
 씨발, 국밥이지. 든든하게 가야지.
 ㅋㅋㅋ 국밥충 등장.
 국밥은 국룰이라고 했잖아.
 오케이, 국밥 한 그릇 하러 가자."
3957,일반 대화,"야, 우리 이번 여름에 캠핑 갈래?
 오, 개좋지. 어디로?
 강원도 쪽 가자. 계곡도 있고 뷰 지림.
 ㅇㅋㅇㅋ, 근데 차 없는데 어케 가냐?
 렌트하거나 기차 타고 가면 되지. 가자!"
3958,일반 대화,"이번에 라면 신상 나온 거 봤냐? 핵매운맛이라던데.
 헐, 어디서 팔아?
 CU에 있던데? 2배 맵다 그랬음.
 ㅋㅋㅋ 맵찔이들 울겠네.
 나도 오늘 저녁에 도전해볼게."
3959,일반 대화,"이번에 애플 신제품 발표했다는데.
 어, 나도 봤음. 근데 디자인 또 똑같음.
 씨발, 가격만 오르고 바뀐 건 없냐?
 ㅋㅋㅋ 그래도 살 사람 다 삼.
 나도 바꿀까 고민 중. 지를까 말까."
3960,일반 대화,"야, 요즘 사람들 다 전동 킥보드 타더라.
 그러게, 나도 출퇴근 때 하나 살까 고민 중.
 헐, 그러면 개편하겠다.
 근데 요즘 단속 심해져서 조심해야 함.
 오케이, 그러면 좀 더 찾아보고 사야겠네."
3961,일반 대화,"너 이번에 월드컵 경기 봤냐?
 개쩔었지. 마지막 역전골 미쳤음.
 진짜 심장 터지는 줄. 난 소리 지르면서 봄.
 ㅋㅋㅋ 나도. 우리나라 경기 다시 보기 해야겠네.
 다음 경기 우리 같이 보자. 술집에서."
3962,일반 대화,"야, 콘서트 티켓팅 성공함?
 개씨발, 광탈했음. 
 ㅋㅋㅋ 나도 실패. 개빡침.
 중고나라 보면 리셀가 미쳤더라.
 아, 팬클럽 선예매로 잡아야 하는데..."
3963,일반 대화,"야, 이번에 마라탕 1kg 챌린지 생긴 거 봤냐?
 어? 어디서 함?
 홍대에서 하는데, 30분 안에 먹으면 무료래.
 헐, 나 도전해볼까? 나 마라탕 개잘먹는데.
 ㅋㅋㅋ 너 못 먹고 중간에 GG칠 듯."
3964,일반 대화,"주말에 한강 갈래? 날씨 딱 좋던데.
 오, 개좋지. 라면 먹고 치맥 하자.
 ㅇㅋㅇㅋ, 그럼 텐트 챙겨와라.
 나 그거 없는뎅. 네가 챙겨라.
 아오, 맨날 나만 준비함. 다음엔 너가 챙겨."
3965,일반 대화,"요즘 뭐가 그렇게 웃기냐?
 그냥 틱톡보다가 개웃긴 거 봄.
 헐, 공유해봐라.
 ㅋㅋㅋ 보내줄게. 너도 보면 뿜을 듯.
 개꿀잼이면 나도 저장한다."
3966,일반 대화,"야, 요즘 뭐 듣냐?
 나 뉴진스 신곡 개좋던데?
 ㅇㅋㅇㅋ, 나도 그거 하루 종일 들음.
 ㅋㅋㅋㅋ 너도 입덕했냐?
 아 인정, 이번 노래 레전드."
3967,일반 대화,"야, 이번에 보드게임방 가볼래?
 어, 뭔 게임 있음?
 카드게임도 있고, 마피아 같은 것도 있음.
 헐, 개꿀잼일 듯. 가보자.
 ㅇㅋㅇㅋ, 그럼 시간 맞춰서 가자."
3968,일반 대화,"오늘 뭐 입고 나감?
 그냥 후드티에 조거팬츠.
 오, 개편하겠네. 근데 너무 편한 거 아냐?
 씨발, 추운데 그럼 뭘 입어.
 ㅋㅋㅋ 알았어. 그냥 따뜻하게 입고 와."
3969,일반 대화,"야, 다음주에 벚꽃놀이 가자.
 헐, 개좋다. 어디로 갈래?
 석촌호수? 거기 개이쁘대.
 ㅇㅋㅇㅋ, 사진도 왕창 찍자.
 나 카메라 챙겨갈게."
3970,일반 대화,"야, 요즘 피씨방 뭐가 맛있냐?
 난 피시방 짜파게티가 국룰이지.
 와, 나도 그거 좋아함. 거기에 치즈 토핑 추가하면 개꿀.
 헐, 치즈 추가 가능하냐? 몰랐네.
 ㅇㅇ, 담에 가면 꼭 해봐라."
3971,일반 대화,"너 이번에 동물의 숲 업데이트 봤어?
 아니, 아직 못 봤는데 뭐 바뀜?
 가구 개많이 추가되고, 새로운 주민도 생겼음.
 와, 개쩐다. 나 또 빠질 듯.
 ㅋㅋㅋ 너 맨날 그 게임만 하냐."
3972,일반 대화,"야, 이번에 BTS 컴백한다던데.
 헐, 진짜? 언제?
 아직 정확한 날짜 안 나왔는데 곧 나온대.
 와, 기대된다. 또 난리 나겠네.
 ㅇㅇ, 티켓팅 전쟁 예상함."
3973,일반 대화,"너 요즘 필라테스 한다며? 어때?
 개힘듦. 처음엔 온몸이 쑤셨음.
 ㅋㅋㅋ 그래도 효과 있냐?
 확실히 자세 교정되는 느낌임.
 오, 나도 해볼까 고민 중."
3974,일반 대화,"야, 우리 이번 주말에 롯데월드 갈래?
 헐, 개좋지! 근데 사람 많지 않을까?
 그럴 수도. 근데 밤 타임 노려보면 덜할 듯.
 ㅇㅋㅇㅋ, 그럼 밤에 가서 바이킹 타자.
 개꿀잼 예상된다. 신나네."
3975,일반 대화,"요즘 집에서 뭐하냐?
 그냥 유튜브 보면서 누워 있음.
 ㅋㅋㅋ 생산적인 거 좀 해라.
 아 몰라, 쉬는 것도 중요한 거임.
 오케이, 인정한다."
3976,일반 대화,"야, 요즘 커피 뭐 마시냐?
 난 바닐라라떼 고정이지.
 와, 나도 바닐라라떼만 먹음.
 ㅋㅋㅋ 역시 입맛 비슷하네.
 담에 카페 가서 신메뉴도 도전해보자."
3977,일반 대화,"너 이번에 키링 뭐 샀어?
 나 포켓몬 피카츄 샀음. 개귀여움.
 와, 나도 피카츄 키링 갖고 싶다.
 ㅇㅋㅇㅋ, 이번에 한정판으로 나왔대.
 미쳤다. 내일 당장 사러 가야겠다."
3978,일반 대화,"야, 넌 스트레스 받을 때 뭐하냐?
 난 무조건 운동함. 땀 빼야 풀림.
 오, 난 맛있는 거 먹어야 풀리는데.
 ㅋㅋㅋ 그것도 방법이네. 뭐가 됐든 풀면 됨.
 맞지. 각자 스타일대로 가는 거지."
3979,일반 대화,"너 이번에 명품 신발 샀다며?
 ㅇㅇ, 근데 가격 개비쌈. 눈물남.
 ㅋㅋㅋ 그래도 만족하냐?
 어, 퀄리티 개좋음. 오래 신을 듯.
 오, 나도 고민되네. 지를까 말까."
3980,일반 대화,"야, 롤에서 요즘 뭐가 사기챔임?
 빅토르 개사기됨. 하향 안 먹으면 개꿀.
 헐, 나 빅토르 연습해볼까?
 ㅇㅇ, 지금 메타에서 개좋음.
 오케이, 담에 너랑 같이 돌린다."
3981,일반 대화,"야, 요즘 다이어트 한다며? 어떻게 함?
 간헐적 단식 중. 점심, 저녁만 먹음.
 헐, 배고프진 않음?
 처음엔 빡셌는데 적응하니까 괜찮음.
 오, 나도 해볼까 고민 중."
3982,일반 대화,"너 이번에 마블 영화 개봉하는 거 봤냐?
 헐, 언제 개봉함?
 다음 주. 티켓팅 해야 할 듯.
 와, 나랑 같이 보러 가자.
 ㅇㅋㅇㅋ, 개기대된다."
3983,일반 대화,"요즘 패션 뭐 유행함?
 약간 Y2K 감성 다시 돌아오는 중.
 와, 그럼 통 넓은 바지 다시 유행하겠네?
 ㅇㅇ, 그리고 크롭탑도 인기 많음.
 오케이, 나도 하나 사야겠다."
3984,일반 대화,"야, 이번에 무슨 보드게임 샀다며?
 응, 쿠푸왕 샀는데 개꿀잼.
 헐, 나도 보드게임 좋아하는데.
 그럼 우리 이번 주말에 보드게임 밤새서 하자.
 ㅇㅋ, 너네 집에서 고?"
3985,일반 대화,"너 요즘 뭐 듣냐?
 난 라디오 많이 듣는다. 힐링됨.
 와, 무슨 감성이냐? ㅋㅋㅋ
 ㅋㅋㅋㅋ 그냥 조용한 음악 듣고 싶을 때 좋음.
 오, 나도 한번 들어봐야겠다."
3986,일반 대화,"야, 요즘 영화 뭐가 재밌냐?
 '에브리씽 에브리웨어' 봤는데 개꿀잼.
 헐, 넷플릭스에 있어?
 아직은 없고 극장에서만 함.
 와, 나도 조만간 보러 가야겠다."
3987,일반 대화,"야, 우리 다음에 방탈출 가볼래?
 헐, 개좋지! 무슨 테마로 갈까?
 좀비 테마 어때? 무섭긴 한데 개재밌대.
 와, 나 겁 많긴 한데 그래도 도전해볼래.
 ㅇㅋ, 담주에 예약 잡는다."
3988,일반 대화,"요즘 인스타 보면 무슨 챌린지가 유행이냐?
 OO댄스 챌린지 개많이 하더라.
 헐, 나도 해볼까?
 ㅋㅋㅋㅋ 너랑 하면 웃길 듯.
 오케이, 도전한다."
3989,일반 대화,"야, 우리 반 애들 중에 누가 제일 공부 잘함?
 김민지. 걔 진짜 전교 1등임.
 와, 노력도 장난 아닐 듯.
 ㅇㅇ, 학원도 3개 다닌대.
 대박이다. 나도 열심히 해야겠다."
3990,일반 대화,"너 이번에 닌텐도 신작 게임 봤냐?
 어, 젤다 신작 나온다며?
 ㅇㅇ, 완전 기대 중.
 와, 나도 사야겠다.
 ㅋㅋㅋ 같이 달리자."
3991,일반 대화,"요즘 뭐 재밌는 유튜브 채널 있어?
 OO이 채널 개꿀잼.
 헐, 뭐하는 사람이야?
 먹방하는데 개맛있어 보임.
 오, 나도 한번 봐야겠다."
3992,일반 대화,"너 이번에 해외여행 어디 가고 싶음?
 난 일본 가고 싶다. 음식 미쳤잖아.
 ㅇㅇ, 일본 음식은 인정이지.
 우리 다음에 진짜 가자.
 ㅋㅋㅋ 돈 모아야겠네."
3993,일반 대화,"야, 저녁 뭐 먹을 거임?
 난 삼겹살 땡기는데.
 헐, 나도. 같이 먹을래?
 ㅇㅋㅇㅋ, 몇 시에 만나?
 한 7시에 보자."
3994,일반 대화,"야, 이번에 포켓몬 빵 또 품절됐대.
헐, 나도 아직 한 번도 못 사봤는데.
진짜 인기 미쳤네. 띠부씰 모으는 사람들 개많음.
나도 모으고 싶은데 씨발, 빵이 없음.
ㅇㅇ, 편의점 오픈런 해야 가능함."
3995,일반 대화,"요즘 술 뭐가 좋냐?
난 위스키가 좋더라. 깔끔해서.
미친, 너 맨날 소주 마시더니?
ㅋㅋㅋ 소주도 좋지만 위스키도 한잔씩 하면 개꿀.
나도 한번 마셔볼까 고민되네."
3996,일반 대화,"야, 이번에 서울 빵지순례 가자.
헐, 개좋지. 어디 어디 갈 건데?
압구정 OO빵집이랑, 성수에 유명한 데 있대.
미쳤다, 거기 줄 개길지 않냐?
ㅇㅇ, 평일에 가야 함. 주말은 못 감."
3997,일반 대화,"야, 우리집 강아지 이번에 미용했는데 개귀엽다.
헐, 사진 보내봐.
ㅋㅋㅋ 완전 인형 됨. 근데 약간 삐진 거 같음.
귀여워 죽겠다. 간식 주면 풀릴 듯.
ㅇㅋㅇㅋ, 저녁에 간식 투척해야겠다."
3998,일반 대화,"요즘 게임 뭐 재밌음?
난 발로란트 다시 잡음. 개잼.
미쳤네. 너 원래 FPS 안 좋아하잖아?
ㅇㅇ, 근데 이건 좀 다름. 팀플이라 더 꿀잼.
오, 나도 해볼까? 캐리 좀 해줘라."
3999,일반 대화,"야, 요즘 카페 어디가 핫함?
한남동 OO카페 분위기 미쳤음.
헐, 너 혼자 갔다 왔냐?
ㅇㅇ, 근데 커피도 괜찮고 인테리어 개이쁨.
나도 가야겠다. 담주에 같이 가자."
4000,일반 대화,"야, 우리 단체 티 맞출까?
오 개좋지. 어떤 디자인으로?
그냥 깔끔한 로고 박힌 거?
ㅇㅇ, 그러면 흰색으로 통일하자.
오케이, 내가 사이트 알아볼게."
4001,일반 대화,"야, 나 요즘 너무 힘들다.
뭐 때문에? 또 회사야?
ㅇㅇ, 상사가 개빡치게 함.
와, 이번엔 또 무슨 일인데?
내가 한 거 다 지가 한 것처럼 얘기함. 개빡쳐."
4002,일반 대화,"나 요즘 진짜 공부 손에 안 잡힌다.
왜? 뭐가 문제야?
몰라. 그냥 집중이 안 됨.
혹시 요즘 스트레스 받는 일 있어?
ㅇㅇ, 이것저것 신경 쓸 게 많아서 그런 듯."
4003,일반 대화,"야, 나 요즘 헬스장 가기 싫어짐.
왜? 재미없어?
ㅇㅇ, 처음엔 열심히 했는데 요즘 귀찮아서...
헐, 너 진짜 열심히 하더니 갑자기?
그냥 의욕이 떨어졌어. 어떻게 해야 하냐."
4004,일반 대화,"야, 나 요즘 대인기피증 생긴 거 같아.
왜? 뭐 때문에?
사람들 만나는 게 너무 피곤해.
그럴 때 있지. 좀 쉬어야 하는 거 아냐?
ㅇㅇ, 근데 너무 쉬면 더 악화될까 봐 걱정됨."
4005,일반 대화,"나 요즘 너무 우울한데 이유를 모르겠어.
그럴 때 있지. 그냥 기분이 싱숭생숭한 거 아냐?
그런 거 같기도 하고... 뭔가 공허함.
혹시 요즘 스트레스 많이 받았어?
ㅇㅇ, 그냥 쌓이는 게 많았던 거 같아."
4006,일반 대화,"야, 나 이번에 팀플 같이 하는 애들이 너무 비협조적이라 스트레스받아.
헐, 뭐 제대로 안 해?
ㅇㅇ, 내가 다 하고 있음. 개빡침.
진짜 최악이다. 너가 혼자 다 하냐?
어쩔 수 없음. 안 하면 걍 팀 점수 날아감."
4007,일반 대화,"야, 나 요즘 살 찐 거 같아.
ㅋㅋㅋ 갑자기?
ㅇㅇ, 스트레스받아서 폭식했나 봐.
그럼 다시 관리해야지. 운동 좀 하든가.
해야지 해야지 하면서 귀찮아서 안 함."
4008,일반 대화,"야, 나 요즘 잠을 못 자.
불면증이야?
ㅇㅇ, 맨날 새벽 3시까지 못 잠.
와, 너 피곤하겠다.
ㅇㅇ, 피곤한데도 잠이 안 옴. 개빡쳐."
4009,일반 대화,"야, 나 취업 준비하는데 너무 막막하다.
헐, 지금 어디 넣고 있어?
ㅇㅇ, 몇 군데 넣었는데 다 서류 광탈함.
요즘 경쟁 개심하다니까.
그러니까. 멘탈 터질 거 같음."
4010,일반 대화,"나 요즘 진짜 우울증 올 거 같다.
뭐 때문에?
몰라. 그냥 매일 똑같고 아무것도 재미없음.
헐, 너 원래 잘 노는 스타일이었잖아.
ㅇㅇ, 근데 요즘은 뭘 해도 재미없음."
4011,일반 대화,"야, 나 알바 하는데 사장님 개 빡치게 함.
왜? 뭐라 했는데?
자기가 실수해놓고 나한테 뒤집어씌움.
헐, 진짜 어이없네.
그러니까. 그만두고 싶은데 돈 때문에 참는 중."
4012,일반 대화,"나 요즘 연애하고 싶은데 좋은 사람이 안 보임.
ㅋㅋㅋㅋ 갑자기 연애 타령이냐?
그냥 외로워서 그런 듯.
앱이라도 깔아봐.
귀찮아. 자연스럽게 만나고 싶음."
